priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
300,https://chamanlawfirm.com/procedures-for-private-placement-in-nigeria/,Procedures For Private Placement In Nigeria,general legal education,not confirmed,40,40,,40 clicks; 1142 impressions; avg position 10.77 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/procedures-for-private-placement-in-nigeria,400,Attempt recovery before rejection; keep hidden unless all publication gates pass.
301,https://chamanlawfirm.com/newblogpost-znqwc8what-are-the-la-in-nigeria/,Newblogpost Znqwc8what Are The La In Nigeria,general legal education,not confirmed,39,39,,39 clicks; 3332 impressions; avg position 20.53 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/newblogpost-znqwc8what-are-the-la-in-nigeria,390,Attempt recovery before rejection; keep hidden unless all publication gates pass.
302,https://chamanlawfirm.com/company-management-in-nigeria/,Company Management In Nigeria,corporate/commercial,approved Sanity post; missing old-url redirect,39,39,,39 clicks; 3037 impressions; avg position 25.55 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/company-management-in-nigeria,390,Attempt recovery before rejection; keep hidden unless all publication gates pass.
303,https://chamanlawfirm.com/non-justiciable-constitutional-provisions/,Non Justiciable Constitutional Provisions,general legal education,not confirmed,38,38,,38 clicks; 12398 impressions; avg position 16.99 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/non-justiciable-constitutional-provisions,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
304,https://chamanlawfirm.com/accountability-in-corporate-governance/,Accountability In Corporate Governance,corporate/commercial,redirect configured to /resources/blog/accountability-in-corporate-governance,38,38,,38 clicks; 7713 impressions; avg position 22.49 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /resources/blog/accountability-in-corporate-governance,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/accountability-in-corporate-governance,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
305,https://chamanlawfirm.com/how-do-i-resolve-landlord-tenant-disputes/,How Do I Resolve Landlord Tenant Disputes,property/title,not confirmed,38,38,,38 clicks; 5460 impressions; avg position 5.63 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-do-i-resolve-landlord-tenant-disputes,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
306,https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax/,0btain Guide On How To Obtain Tax,corporate/commercial,hidden Sanity draft; do not redirect,38,38,,38 clicks; 5053 impressions; avg position 16.66 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/0btain-guide-on-how-to-obtain-tax,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
307,https://chamanlawfirm.com/business-name-and-a-company-limited-by-shares/,Business Name And A Company Limited By Shares,corporate/commercial,redirect configured to /resources/blog/business-name-and-a-company-limited-by-shares,38,38,,38 clicks; 4129 impressions; avg position 19.26 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,redirect configured to /resources/blog/business-name-and-a-company-limited-by-shares,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/business-name-and-a-company-limited-by-shares,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
308,https://chamanlawfirm.com/when-you-can-legally-define-the-tort-of-negligence/,When You Can Legally Define The Tort Of Negligence,general legal education,not confirmed,38,38,,38 clicks; 3963 impressions; avg position 11.38 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/when-you-can-legally-define-the-tort-of-negligence,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
309,https://chamanlawfirm.com/regulatory-compliance-in-nigerian-construction/,Regulatory Compliance In Nigerian Construction,general legal education,not confirmed,38,38,,38 clicks; 3322 impressions; avg position 19.22 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/regulatory-compliance-in-nigerian-construction,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
310,https://chamanlawfirm.com/legalimplicationsof-co-ownership-of-property/,Legalimplicationsof Co Ownership Of Property,property/title,approved Sanity post; missing old-url redirect,38,38,,38 clicks; 3026 impressions; avg position 7.47 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,approved Sanity post; missing old-url redirect,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,redirect one-hop to closest exact live equivalent,https://chamanlawfirm.com/resources/blog/legalimplicationsof-co-ownership-of-property,380,Attempt recovery before rejection; keep hidden unless all publication gates pass.
311,https://chamanlawfirm.com/process-of-making-law-in-nigeria/,Process Of Making Law In Nigeria,general legal education,not confirmed,37,37,,37 clicks; 10444 impressions; avg position 18.01 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/process-of-making-law-in-nigeria,370,Attempt recovery before rejection; keep hidden unless all publication gates pass.
312,https://chamanlawfirm.com/how-long-can-a-law-enforcement-validly-detain-you-in-nigeria/,How Long Can A Law Enforcement Validly Detain You In Nigeria,general legal education,not confirmed,37,37,,37 clicks; 3932 impressions; avg position 11.18 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,not confirmed,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-long-can-a-law-enforcement-validly-detain-you-in-nigeria,370,Attempt recovery before rejection; keep hidden unless all publication gates pass.
